PC,rho_PLIKS_vs_PCresid,p,N
0,0.14089944670312723,0.027442946391777228,245
21,-0.131599078990847,0.03956353391377119,245
2,-0.07220536227720026,0.26021503250348305,245
30,-0.007969917422871241,0.9012258549032699,245
8,-0.005141939090678144,0.9361791918841166,245
