ROI,weight
FoldInd_rh_superiorparietal,-0.003807517854878433
FoldInd_rh_superiortemporal,-0.0030729413333185317
FoldInd_rh_supramarginal,-0.0037961541463381616
FoldInd_rh_transversetemporal,-0.00837108520314506
GausCurv_lh_caudalanteriorcingulate,8.563028560466112
GausCurv_lh_caudalmiddlefrontal,6.506677322359402
GausCurv_lh_cuneus,6.985761256265621
GausCurv_lh_entorhinal,-1.8424725195762968
GausCurv_lh_fusiform,0.7498988706665197
GausCurv_lh_inferiorparietal,4.14505273052542
GausCurv_lh_inferiortemporal,5.121999812563297
GausCurv_lh_insula,4.897288355896192
GausCurv_lh_isthmuscingulate,-0.4605976035840812
GausCurv_lh_lateraloccipital,10.105344510252191
GausCurv_lh_lateralorbitofrontal,2.367241461241929
GausCurv_lh_lingual,2.041880307312181
GausCurv_lh_medialorbitofrontal,4.712451954964346
GausCurv_lh_middletemporal,5.615495617494774
GausCurv_lh_paracentral,2.3598524154153373
GausCurv_lh_parahippocampal,-3.2254451824608226
GausCurv_lh_parsopercularis,4.6246167546139905
GausCurv_lh_parsorbitalis,6.133033859835824
GausCurv_lh_parstriangularis,3.219445143088916
GausCurv_lh_pericalcarine,-2.1066485980118244
GausCurv_lh_postcentral,7.124387982169168
GausCurv_lh_posteriorcingulate,3.102451302236457
GausCurv_lh_precentral,3.2119595929281566
GausCurv_lh_precuneus,1.680453315732547
GausCurv_lh_rostralanteriorcingulate,6.752981772159578
GausCurv_lh_rostralmiddlefrontal,7.450455478411479
GausCurv_lh_superiorfrontal,5.312029285404099
GausCurv_lh_superiorparietal,7.787959114547674
GausCurv_lh_superiortemporal,4.36453299606899
GausCurv_lh_supramarginal,8.51874107888377
GausCurv_lh_transversetemporal,3.0120325429006694
GausCurv_rh_caudalanteriorcingulate,7.220312595830251
GausCurv_rh_caudalmiddlefrontal,12.303539672429435
GausCurv_rh_cuneus,0.7661873047561552
GausCurv_rh_entorhinal,0.453615513678633
GausCurv_rh_fusiform,4.5281720389996325
GausCurv_rh_inferiorparietal,12.087936702803939
GausCurv_rh_inferiortemporal,3.826349422603543
GausCurv_rh_insula,1.4242472218049986
GausCurv_rh_isthmuscingulate,-1.3430449952778796
GausCurv_rh_lateraloccipital,5.766049040713319
GausCurv_rh_lateralorbitofrontal,1.2559189203784222
GausCurv_rh_lingual,-0.15638418281519037
GausCurv_rh_medialorbitofrontal,3.553899230224943
GausCurv_rh_middletemporal,8.888822381354046
GausCurv_rh_paracentral,-0.044607686326755575
GausCurv_rh_parahippocampal,-2.5420815908999983
GausCurv_rh_parsopercularis,2.842761338762559
GausCurv_rh_parsorbitalis,0.6852809846410859
GausCurv_rh_parstriangularis,7.4907805779424335
GausCurv_rh_pericalcarine,0.6226846711710906
GausCurv_rh_postcentral,8.14355711010207
GausCurv_rh_posteriorcingulate,-2.451870947078266
GausCurv_rh_precentral,7.639579630934438
GausCurv_rh_precuneus,2.3124462130121564
GausCurv_rh_rostralanteriorcingulate,0.7949727785579143
GausCurv_rh_rostralmiddlefrontal,4.778577628525465
GausCurv_rh_superiorfrontal,7.004890640941754
GausCurv_rh_superiorparietal,1.9605453876298018
GausCurv_rh_superiortemporal,2.9473197798206776
GausCurv_rh_supramarginal,11.157642303923442
GausCurv_rh_transversetemporal,3.014360096130618
GrayVol_lh_caudalanteriorcingulate,-0.00011976437146328231
GrayVol_lh_caudalmiddlefrontal,-4.1865830698004226e-05
GrayVol_lh_cuneus,-6.708646936715413e-05
GrayVol_lh_entorhinal,-0.0001130544063947279
GrayVol_lh_fusiform,-5.3860635274083585e-05
GrayVol_lh_inferiorparietal,-2.6923601381433573e-05
GrayVol_lh_inferiortemporal,-3.874228388721786e-05
GrayVol_lh_insula,-0.0001203304047432093
GrayVol_lh_isthmuscingulate,-0.00013217545006217684
GrayVol_lh_lateraloccipital,-3.624940540176366e-05
GrayVol_lh_lateralorbitofrontal,-6.990116275598306e-05
GrayVol_lh_lingual,-5.319007167252429e-05
GrayVol_lh_medialorbitofrontal,-0.00011812810961929097
GrayVol_lh_middletemporal,-3.452082640651438e-05
GrayVol_lh_paracentral,-0.00011076327494680557
GrayVol_lh_parahippocampal,-0.00014527327679516395
GrayVol_lh_parsopercularis,-6.090345822698998e-05
GrayVol_lh_parsorbitalis,-0.00013644202242756395
GrayVol_lh_parstriangularis,-4.9159605246243106e-05
GrayVol_lh_pericalcarine,-5.880307274688488e-05
GrayVol_lh_postcentral,-4.110108126967461e-05
GrayVol_lh_posteriorcingulate,-0.00012820393729115446
GrayVol_lh_precentral,-3.7537762985765215e-05
GrayVol_lh_precuneus,-4.9727793746053524e-05
GrayVol_lh_rostralanteriorcingulate,-0.00010956859592222257
GrayVol_lh_rostralmiddlefrontal,-3.429366566938189e-05
GrayVol_lh_superiorfrontal,-2.3912062806969736e-05
GrayVol_lh_superiorparietal,-3.979826083552387e-05
GrayVol_lh_superiortemporal,-3.1902918617035453e-05
GrayVol_lh_supramarginal,-3.971371212638709e-05
GrayVol_lh_transversetemporal,-0.00022764637261181057
GrayVol_rh_caudalanteriorcingulate,-8.180523513251564e-05
GrayVol_rh_caudalmiddlefrontal,-3.945071848474045e-05
GrayVol_rh_cuneus,-7.724477584550487e-05
GrayVol_rh_entorhinal,-0.0001242888631563618
GrayVol_rh_fusiform,-4.589474332232173e-05
GrayVol_rh_inferiorparietal,-2.9273516038630365e-05
GrayVol_rh_inferiortemporal,-3.858815933956858e-05
GrayVol_rh_insula,-0.00010520682779206986
GrayVol_rh_isthmuscingulate,-0.00014032370556716836
GrayVol_rh_lateraloccipital,-3.341928274069096e-05
GrayVol_rh_lateralorbitofrontal,-7.371790612480851e-05
GrayVol_rh_lingual,-5.4746670335077296e-05
GrayVol_rh_medialorbitofrontal,-0.00013496738014526016
GrayVol_rh_middletemporal,-3.512297035350682e-05
GrayVol_rh_paracentral,-8.946322691228605e-05
GrayVol_rh_parahippocampal,-0.0001546260224410972
GrayVol_rh_parsopercularis,-4.731316700222974e-05
GrayVol_rh_parsorbitalis,-0.0001165572611187057
GrayVol_rh_parstriangularis,-4.0091505349521506e-05
GrayVol_rh_pericalcarine,-7.302530914591246e-05
GrayVol_rh_postcentral,-4.510291992769374e-05
GrayVol_rh_posteriorcingulate,-0.00012495487244634548
GrayVol_rh_precentral,-4.3134649461885846e-05
GrayVol_rh_precuneus,-4.852554700944822e-05
GrayVol_rh_rostralanteriorcingulate,-0.00010150610868706038
GrayVol_rh_rostralmiddlefrontal,-3.8994511896109404e-05
GrayVol_rh_superiorfrontal,-2.0560666308378497e-05
GrayVol_rh_superiorparietal,-3.480060373530673e-05
GrayVol_rh_superiortemporal,-3.739581959287742e-05
GrayVol_rh_supramarginal,-4.724321870083006e-05
GrayVol_rh_transversetemporal,-0.00028574094289012095
MeanCurv_lh_caudalanteriorcingulate,3.8232115904455055
MeanCurv_lh_caudalmiddlefrontal,3.581534253613031
MeanCurv_lh_cuneus,3.5086700146819414
MeanCurv_lh_entorhinal,-0.8154673367920594
MeanCurv_lh_fusiform,2.9937799223783093
MeanCurv_lh_inferiorparietal,2.078669876900304
MeanCurv_lh_inferiortemporal,4.236384086168989
MeanCurv_lh_insula,2.0195891271387394
MeanCurv_lh_isthmuscingulate,0.7050295686482388
MeanCurv_lh_lateraloccipital,5.689840516667474
MeanCurv_lh_lateralorbitofrontal,1.090993502403558
MeanCurv_lh_lingual,1.9605374602769072
MeanCurv_lh_medialorbitofrontal,2.8220852897981987
MeanCurv_lh_middletemporal,2.059050878155274
MeanCurv_lh_paracentral,0.2530217679005621
MeanCurv_lh_parahippocampal,-1.3269792402411156
MeanCurv_lh_parsopercularis,2.0069362379350135
MeanCurv_lh_parsorbitalis,2.0012043123935386
MeanCurv_lh_parstriangularis,1.059882750916863
MeanCurv_lh_pericalcarine,-0.7082728721449757
MeanCurv_lh_postcentral,2.8909497078456114
MeanCurv_lh_posteriorcingulate,2.2934187865694042
MeanCurv_lh_precentral,2.4042687498020623
MeanCurv_lh_precuneus,2.1509003630960875
MeanCurv_lh_rostralanteriorcingulate,2.1785760900442668
MeanCurv_lh_rostralmiddlefrontal,3.44520412327773
MeanCurv_lh_superiorfrontal,3.7576059400819615
MeanCurv_lh_superiorparietal,4.46263715443785
MeanCurv_lh_superiortemporal,2.5186492596616046
MeanCurv_lh_supramarginal,4.852531253264573
MeanCurv_lh_transversetemporal,1.1817529652075949
MeanCurv_rh_caudalanteriorcingulate,3.2917291579337875
MeanCurv_rh_caudalmiddlefrontal,5.142710325239246
MeanCurv_rh_cuneus,0.3406362232043713
MeanCurv_rh_entorhinal,-0.045239774817918195
MeanCurv_rh_fusiform,6.079191593123899
MeanCurv_rh_inferiorparietal,6.886403683151861
MeanCurv_rh_inferiortemporal,3.004684705652288
MeanCurv_rh_insula,0.9776311474278901
MeanCurv_rh_isthmuscingulate,0.09214290736173263
MeanCurv_rh_lateraloccipital,5.372500397594662
MeanCurv_rh_lateralorbitofrontal,2.1689362781834776
MeanCurv_rh_lingual,1.4959738357932124
MeanCurv_rh_medialorbitofrontal,1.6560436878437372
MeanCurv_rh_middletemporal,3.701544674067973
MeanCurv_rh_paracentral,0.16977499168996987
MeanCurv_rh_parahippocampal,-2.2875495201401144
MeanCurv_rh_parsopercularis,0.32903317440205143
MeanCurv_rh_parsorbitalis,0.6536871905198874
MeanCurv_rh_parstriangularis,2.680868564555318
MeanCurv_rh_pericalcarine,0.18021113857504897
MeanCurv_rh_postcentral,3.7449584997032277
MeanCurv_rh_posteriorcingulate,-0.9849423088299855
MeanCurv_rh_precentral,2.9441485431349967
MeanCurv_rh_precuneus,1.2218291775570826
MeanCurv_rh_rostralanteriorcingulate,0.4998087716305714
MeanCurv_rh_rostralmiddlefrontal,3.089424596413269
MeanCurv_rh_superiorfrontal,3.4174682062948545
MeanCurv_rh_superiorparietal,2.5419079315436583
MeanCurv_rh_superiortemporal,2.7501358636305526
MeanCurv_rh_supramarginal,5.65038069465997
MeanCurv_rh_transversetemporal,1.0652130520112155
SurfArea_lh_caudalanteriorcingulate,-0.0003664581982377259
SurfArea_lh_caudalmiddlefrontal,-0.00012819878101199544
SurfArea_lh_cuneus,-0.00013702575565615542
SurfArea_lh_entorhinal,-0.0006065041655458677
SurfArea_lh_fusiform,-0.000178348016384176
SurfArea_lh_inferiorparietal,-8.437934637183262e-05
SurfArea_lh_inferiortemporal,-0.00014504283088461592
SurfArea_lh_insula,-0.0003781277628044577
SurfArea_lh_isthmuscingulate,-0.00038415135333397477
SurfArea_lh_lateraloccipital,-8.390551027447723e-05
SurfArea_lh_lateralorbitofrontal,-0.00021391234629084872
SurfArea_lh_lingual,-0.00013077095236891094
SurfArea_lh_medialorbitofrontal,-0.00034382904288167
SurfArea_lh_middletemporal,-0.00011503283738822604
SurfArea_lh_paracentral,-0.00034249566493472713
SurfArea_lh_parahippocampal,-0.0006701179074299023
SurfArea_lh_parsopercularis,-0.00018491714871770787
SurfArea_lh_parsorbitalis,-0.0005280100867036963
SurfArea_lh_parstriangularis,-0.00015062385166738138
SurfArea_lh_pericalcarine,-9.517396106489357e-05
SurfArea_lh_postcentral,-0.00012548086765548405
SurfArea_lh_posteriorcingulate,-0.0003437790318417345
SurfArea_lh_precentral,-0.00012786904560860903
SurfArea_lh_precuneus,-0.0001415367717821002
SurfArea_lh_rostralanteriorcingulate,-0.00037741591579630997
SurfArea_lh_rostralmiddlefrontal,-9.756836698824831e-05
SurfArea_lh_superiorfrontal,-8.55988146628604e-05
SurfArea_lh_superiorparietal,-0.0001027922275130525
SurfArea_lh_superiortemporal,-0.00012338349785565248
