PC,rho_PLIKS_vs_PCresid,p,N
1,0.12168327943678199,0.0551617623821879,249
0,-0.12609487056970534,0.046847949390799684,249
2,-0.008603504060615053,0.8925483120415094,249
12,0.034261834585019246,0.5905216229163046,249
