rank,PC,rho_age_ctrl_oriented,p_age_ctrl_oriented,rho_age_all_oriented,p_age_all_oriented,explained_var_ratio
1,1,0.6354149522735587,3.1027618122115246e-14,0.6177740123912081,5.111600493861025e-26,0.10193426443517163
2,0,0.5718380174792317,3.0231378359676815e-11,0.4823594283852043,4.8677552866149664e-15,0.18032002529373364
3,2,0.162725304715996,0.08366017262580369,0.165055709393987,0.011448132634764945,0.07213872434261516
4,12,0.15056870906890857,0.10981014820143246,0.09380621652938946,0.15259337251916835,0.01669847241852159
5,4,0.1372912340943609,0.14522088762971738,0.1405896333367832,0.03157263793949171,0.028870846480328963
