"family","traj_def","contrast","estimate","SE","df","p.value","lower.CL","upper.CL","cohen_d","q.value","AIC_no_dep","AIC_with_dep","delta_AIC"
"H1_cross_sectional","LPEs1_dep_T0","Control vs (1+2+3)",0.357896650057234,0.139827044172823,370,0.0108770196547249,0.0829412822730654,0.632852017841403,0.693670363272679,0.0217540393094499,1407.66401911455,1413.57597444664,-5.91195533208906
"H1_cross_sectional","LPEs1_dep_T1","Control vs (1+2+3)",0.143292362200537,0.166276805963231,100,0.390875881407037,-0.18659608502158,0.473180809422653,0.139192908998861,0.390875881407037,1407.66401911455,1413.57597444664,-5.91195533208906
"H2_severity_trend_linear","LPEs1_dep_T0","linear",1.35687200849403,0.782973898251161,370,0.0839337916460508,-0.182764886733247,2.89650890372131,NA,0.167867583292102,1407.66401911455,1413.57597444664,-5.91195533208906
"H2_severity_trend_linear","LPEs1_dep_T1","linear",-0.414874986759354,1.08822195040069,100,0.703833111683897,-2.57387634218648,1.74412636866777,NA,0.703833111683897,1407.66401911455,1413.57597444664,-5.91195533208906
"H3_longitudinal_LPEs1_dep","LPEs1_dep","D CTRL - D PE",-0.214604287856697,0.209706070032539,100,0.308608081506752,-0.63065515806276,0.201446582349365,-0.415943078242347,0.308608081506752,1407.66401911455,1413.57597444664,-5.91195533208906
"H3_longitudinal_LPEs2_dep","LPEs2_dep","D CTRL - D PE",0.0780406983228512,0.233502544090721,109.797333120362,0.738852776154197,-0.384716035718208,0.54079743236391,0.109932284696795,0.738852776154197,1407.66401911455,1413.57597444664,-5.91195533208906
"depression_main_effect","LPEs1_dep","depression_Comp main",0.227405222149295,0.102373724683952,370,0.0269336876716287,0.0260979193422589,0.428712524956331,0.220899382956603,0.0269336876716287,1407.66401911455,1413.57597444664,-5.91195533208906
