"family","traj_def","contrast","estimate","SE","df","p.value","lower.CL","upper.CL","cohen_d","q.value","AIC_full"
"H1_cross_sectional","LPEs1_euler_T0","Control vs (1+2+3)",0.301994328209919,0.133654316965593,386,0.024408151547678,0.039212732675547,0.56477592374429,0.660256832246186,0.048816303095356,1460.50523680103
"H1_cross_sectional","LPEs1_euler_T1","Control vs (1+2+3)",0.21497605294575,0.154473530213983,103,0.167020763612051,-0.0913857608442223,0.521337866735722,0.227052202946471,0.167020763612051,1460.50523680103
"H2_severity_trend_linear","LPEs1_euler_T0","linear",1.26802222871959,0.698516630028932,386,0.0702525995166627,-0.105351401954445,2.64139585939362,NA,0.140505199033325,1460.50523680103
"H2_severity_trend_linear","LPEs1_euler_T1","linear",-0.461296004203534,0.931137215846409,103,0.621365046841726,-2.3079870582559,1.38539504984883,NA,0.621365046841726,1460.50523680103
"H3_longitudinal_LPEs1_euler","LPEs1_euler","D CTRL - D PE",-0.0870182752641688,0.203793740602769,103,0.670276459209137,-0.491195093930903,0.317158543402566,-0.19024996632887,0.670276459209137,1460.50523680103
"H3_longitudinal_LPEs2_euler","LPEs2_euler","D CTRL - D PE",0.0843312573161213,0.222828522777246,108.977208864368,0.705826577652364,-0.357308667272269,0.525971181904512,0.125271464828487,0.705826577652364,1460.50523680103
