"pliks18TH","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value","visit"
"0",-0.165037898567287,0.0886184313530416,108,-0.340695003327612,0.0106192061930382,-1.86234281116761,0.065272833968666,"20y"
"1",0.0870480579050066,0.162406168955207,108,-0.234869143723598,0.408965259533612,0.535989848569209,0.593067755299219,"20y"
"2",0.107379891399116,0.139685581115156,108,-0.169501163487777,0.38426094628601,0.768725666184491,0.443733973131045,"20y"
"3",0.273715127880016,0.196208993335668,108,-0.115205135896448,0.662635391656479,1.39501825694479,0.165872643376241,"20y"
"0",-0.0643857866906167,0.0667983261824533,108,-0.196791657578816,0.0680200841975824,-0.96388323436059,0.337257752577693,"30y"
"1",0.420469567630309,0.206294242066622,108,0.0115585912467854,0.829380544013833,2.03820311908909,0.0439730418842013,"30y"
"2",0.143309664041176,0.183769873678243,108,-0.220954106594648,0.507573434677,0.779832195412467,0.437195313682743,"30y"
"3",-0.104042147970715,0.293606734311121,108,-0.686021631242796,0.477937335301366,-0.354358861062317,0.723760906444769,"30y"
