"pliks18TH","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"0","Time1 - Time0",0.10065211187667,0.111682034310384,108,-0.183045742763508,0.384349966516848,0.90123816689209,1
"1","Time1 - Time0",0.333421509725303,0.262447203529108,108,-0.33325428157159,1.0000973010222,1.27043270128928,0.826642233181763
"2","Time1 - Time0",0.0359297726420597,0.2298112632947,108,-0.547843282455249,0.619702827739368,0.156344698370963,1
"3","Time1 - Time0",-0.377757275850731,0.351419627668087,108,-1.27044332928356,0.514928777582096,-1.07494643471514,1
